Conflict,Belligerent,Recipient,Year,Belligerent ID,Recipient ID,Estimated Expenditure (Current USD 2020 Million),
Afghan Civil War,Pakistan,Afghanistan,1995,131,1,100,
Afghan Civil War,Iran,Afghanistan,1995,80,1,50,
Afghan Civil War,Uzbekistan,Afghanistan,1995,188,1,10,
Afghan Civil War,Pakistan,Afghanistan,1996,131,1,100,
Afghan Civil War,Iran,Afghanistan,1996,80,1,50,
Afghan Civil War,Uzbekistan,Afghanistan,1996,188,1,10,
Afghan Civil War,Russian Federation,Afghanistan,1996,143,1,100,
Afghan Civil War,Iran,Afghanistan,1996,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,1996,188,1,10,
Afghan Civil War,India,Afghanistan,1996,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,1996,171,1,10,
Afghan Civil War,Turkey,Afghanistan,1996,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,1996,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,1996,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,1996,93,1,10,
Afghan Civil War,Russian Federation,Afghanistan,1997,143,1,100,
Afghan Civil War,Iran,Afghanistan,1997,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,1997,188,1,10,
Afghan Civil War,India,Afghanistan,1997,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,1997,171,1,10,
Afghan Civil War,Turkey,Afghanistan,1997,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,1997,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,1997,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,1997,93,1,10,
Afghan Civil War,Russian Federation,Afghanistan,1998,143,1,100,
Afghan Civil War,Iran,Afghanistan,1998,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,1998,188,1,10,
Afghan Civil War,India,Afghanistan,1998,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,1998,171,1,10,
Afghan Civil War,Turkey,Afghanistan,1998,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,1998,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,1998,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,1998,93,1,10,
Afghan Civil War,Russian Federation,Afghanistan,1999,143,1,100,
Afghan Civil War,Iran,Afghanistan,1999,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,1999,188,1,10,
Afghan Civil War,India,Afghanistan,1999,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,1999,171,1,10,
Afghan Civil War,Turkey,Afghanistan,1999,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,1999,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,1999,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,1999,93,1,10,
Afghan Civil War,Russian Federation,Afghanistan,2000,143,1,100,
Afghan Civil War,Iran,Afghanistan,2000,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,2000,188,1,10,
Afghan Civil War,India,Afghanistan,2000,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,2000,171,1,10,
Afghan Civil War,Turkey,Afghanistan,2000,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,2000,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,2000,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,2000,93,1,10,
U.S. invasion of Afghanistan,United States,Afghanistan,2001,186,1,500,
U.S. invasion of Afghanistan,United Kingdom,Afghanistan,2001,185,1,10,
U.S. invasion of Afghanistan,Canada,Afghanistan,2001,33,1,10,
U.S. invasion of Afghanistan,Australia,Afghanistan,2001,9,1,10,
U.S. invasion of Afghanistan,India,Afghanistan,2001,78,1,5,
U.S. invasion of Afghanistan,Russian Federation,Afghanistan,2001,143,1,10,
U.S. invasion of Afghanistan,Turkey,Afghanistan,2001,179,1,5,
U.S. invasion of Afghanistan,Tajikistan,Afghanistan,2001,171,1,5,
U.S. invasion of Afghanistan,Uzbekistan,Afghanistan,2001,188,1,5,
U.S. invasion of Afghanistan,Turkmenistan,Afghanistan,2001,180,1,5,
U.S. invasion of Afghanistan,Iran,Afghanistan,2001,80,1,10,
U.S. invasion of Afghanistan,Saudi Arabia,Afghanistan,2001,151,1,10,
Afghan Civil War,Russian Federation,Afghanistan,2001,143,1,100,
Afghan Civil War,Iran,Afghanistan,2001,80,1,20,
Afghan Civil War,Uzbekistan,Afghanistan,2001,188,1,10,
Afghan Civil War,India,Afghanistan,2001,78,1,10,
Afghan Civil War,Tajikistan,Afghanistan,2001,171,1,10,
Afghan Civil War,Turkey,Afghanistan,2001,179,1,10,
Afghan Civil War,Turkmenistan,Afghanistan,2001,180,1,10,
Afghan Civil War,Kazakhstan,Afghanistan,2001,88,1,10,
Afghan Civil War,Kyrgyzstan,Afghanistan,2001,93,1,10,
Angolan Civil War,Tanzania,Angola,1995,172,4,10,
Angolan Civil War,Mozambique,Angola,1995,118,4,10,
Angolan Civil War,Brazil,Angola,1995,25,4,10,
Angolan Civil War,Portugal,Angola,1995,140,4,10,
Angolan Civil War,Zambia,Angola,1995,192,4,10,
Angolan Civil War,France,Angola,1995,61,4,10,
Angolan Civil War,Tanzania,Angola,1996,172,4,10,
