Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Albania,Afghanistan,AlbaniaAfghanistan,,,,,0,0,,
Austria,Afghanistan,AustriaAfghanistan,1,1,2,2,2,2,1,
Belgium,Afghanistan,BelgiumAfghanistan,8,9,4,3,2,6,7,
Bosnia and Herzegovina,Afghanistan,Bosnia and HerzegovinaAfghanistan,,,0,0,0,0,0,
Bulgaria,Afghanistan,BulgariaAfghanistan,1,1,1,1,1,1,1,
Croatia,Afghanistan,CroatiaAfghanistan,1,1,0,1,1,2,3,
Cyprus,Afghanistan,CyprusAfghanistan,0,0,6,0,0,0,0,
Czech Republic,Afghanistan,Czech RepublicAfghanistan,1,1,0,0,0,1,2,
Denmark,Afghanistan,DenmarkAfghanistan,5,18,8,6,3,3,3,
Estonia,Afghanistan,EstoniaAfghanistan,0,0,0,0,1,0,0,
Finland,Afghanistan,FinlandAfghanistan,3,1,2,2,3,1,2,
France,Afghanistan,FranceAfghanistan,7,8,,8,7,34,37,
Germany,Afghanistan,GermanyAfghanistan,35,46,39,42,38,39,30,
Greece,Afghanistan,GreeceAfghanistan,0,0,0,0,0,0,0,
Hungary,Afghanistan,HungaryAfghanistan,23,11,1,0,0,0,0,
Iceland,Afghanistan,IcelandAfghanistan,0,0,0,0,0,0,0,
Ireland,Afghanistan,IrelandAfghanistan,,,,,,0,0,
Italy,Afghanistan,ItalyAfghanistan,13,13,25,11,10,12,9,
Latvia,Afghanistan,LatviaAfghanistan,1,0,0,1,0,0,0,
Lithuania,Afghanistan,LithuaniaAfghanistan,0,,1,0,1,,2,
Luxembourg,Afghanistan,LuxembourgAfghanistan,58,50,27,13,6,4,2,
Malta,Afghanistan,MaltaAfghanistan,,,,,,,,
Netherlands,Afghanistan,NetherlandsAfghanistan,29,15,17,19,9,6,4,
Poland,Afghanistan,PolandAfghanistan,1,1,2,1,3,2,2,
Portugal,Afghanistan,PortugalAfghanistan,3,1,0,0,0,0,0,
Romania,Afghanistan,RomaniaAfghanistan,1,1,1,1,1,1,1,
Russian Federation,Afghanistan,Russian FederationAfghanistan,23,9,6,7,8,8,3,
Serbia,Afghanistan,SerbiaAfghanistan,0,0,0,0,0,0,0,
Slovakia,Afghanistan,SlovakiaAfghanistan,0,0,0,0,0,1,0,
Slovenia,Afghanistan,SloveniaAfghanistan,0,0,0,0,0,0,0,
Sweden,Afghanistan,SwedenAfghanistan,72,45,36,41,39,44,58,
United Kingdom,Afghanistan,United KingdomAfghanistan,847,615,419,,,,,
Austria,Albania,AustriaAlbania,52,50,43,42,36,38,57,
Belgium,Albania,BelgiumAlbania,17,24,11,11,11,17,19,
Bosnia and Herzegovina,Albania,Bosnia and HerzegovinaAlbania,,,30,11,5,5,5,
Bulgaria,Albania,BulgariaAlbania,11,11,12,12,12,15,14,
Croatia,Albania,CroatiaAlbania,16,17,22,18,17,28,24,
Cyprus,Albania,CyprusAlbania,0,0,,,,,0,
Czech Republic,Albania,Czech RepublicAlbania,3,1,4,3,2,65,2,
Denmark,Albania,DenmarkAlbania,3,2,1,1,1,2,2,
Estonia,Albania,EstoniaAlbania,0,0,0,0,1,1,2,
Finland,Albania,FinlandAlbania,11,9,8,9,7,13,4,
France,Albania,FranceAlbania,56,86,58,108,337,68,67,
Greece,Albania,GreeceAlbania,301,268,217,234,276,363,330,
Hungary,Albania,HungaryAlbania,2,2,2,1,12,17,19,
Iceland,Albania,IcelandAlbania,0,0,0,0,0,0,0,
Ireland,Albania,IrelandAlbania,,,,,6,,,
Italy,Albania,ItalyAlbania,210,288,238,238,274,340,284,
Latvia,Albania,LatviaAlbania,0,0,0,1,1,1,2,
Lithuania,Albania,LithuaniaAlbania,0,0,0,0,1,,0,
Luxembourg,Albania,LuxembourgAlbania,4,15,23,22,19,20,19,
Malta,Albania,MaltaAlbania,,,,,,,,
Netherlands,Albania,NetherlandsAlbania,44,34,19,12,16,23,22,
Poland,Albania,PolandAlbania,1,13,5,4,5,6,8,
Portugal,Albania,PortugalAlbania,0,1,1,1,1,1,1,
Romania,Albania,RomaniaAlbania,11,18,13,15,10,15,9,
Russian Federation,Albania,Russian FederationAlbania,2,2,2,2,2,3,2,
Serbia,Albania,SerbiaAlbania,8,12,10,14,21,27,31,
Slovakia,Albania,SlovakiaAlbania,1,4,4,3,4,4,4,
Slovenia,Albania,SloveniaAlbania,15,16,14,18,26,22,18,
Sweden,Albania,SwedenAlbania,6,6,5,5,6,3,5,
United Kingdom,Albania,United KingdomAlbania,11,20,11,26,27,29,170,13
Albania,Algeria,AlbaniaAlgeria,,,,,0,0,,
Austria,Algeria,AustriaAlgeria,7,5,8,4,5,13,8,
Belgium,Algeria,BelgiumAlgeria,88,92,98,79,129,74,63,
Bosnia and Herzegovina,Algeria,Bosnia and HerzegovinaAlgeria,,,7,2,7,4,0,
Bulgaria,Algeria,BulgariaAlgeria,3,3,2,2,3,3,3,
Croatia,Algeria,CroatiaAlgeria,6,16,14,13,6,6,4,
Cyprus,Algeria,CyprusAlgeria,0,0,0,,0,0,0,
Czech Republic,Algeria,Czech RepublicAlgeria,14,16,8,19,10,266,7,
Denmark,Algeria,DenmarkAlgeria,43,32,61,142,79,149,156,
Estonia,Algeria,EstoniaAlgeria,0,0,0,0,0,0,0,
Finland,Algeria,FinlandAlgeria,28,44,33,19,26,,,
France,Algeria,FranceAlgeria,1772,2055,1744,1979,1584,1894,1904,
Germany,Algeria,GermanyAlgeria,110,219,211,165,186,213,143,
Greece,Algeria,GreeceAlgeria,17,105,113,70,63,76,66,
Hungary,Algeria,HungaryAlgeria,1,1,2,2,3,1,1,
Iceland,Algeria,IcelandAlgeria,0,0,0,0,0,0,0,
Ireland,Algeria,IrelandAlgeria,,23,,,,,,
Italy,Algeria,ItalyAlgeria,146,188,176,140,121,79,102,
Latvia,Algeria,LatviaAlgeria,0,0,0,0,0,0,0,
Lithuania,Algeria,LithuaniaAlgeria,0,56,27,0,0,,0,
Luxembourg,Algeria,LuxembourgAlgeria,36,32,20,40,47,19,4,
Malta,Algeria,MaltaAlgeria,3,,,,2,,,
Netherlands,Algeria,NetherlandsAlgeria,212,97,115,70,60,43,38,
New Zealand,Algeria,New ZealandAlgeria,0,0,0,0,0,0,,
Poland,Algeria,PolandAlgeria,17,25,12,18,13,7,4,
Portugal,Algeria,PortugalAlgeria,37,52,45,44,28,43,15,
Romania,Algeria,RomaniaAlgeria,3,2,2,2,2,1,2,
Russian Federation,Algeria,Russian FederationAlgeria,73,186,170,249,242,186,495,
Serbia,Algeria,SerbiaAlgeria,8,5,8,7,3,4,1,
Slovakia,Algeria,SlovakiaAlgeria,0,0,0,0,2,2,1,
Slovenia,Algeria,SloveniaAlgeria,0,0,0,0,0,0,0,
Sweden,Algeria,SwedenAlgeria,228,224,150,77,36,43,41,
United Kingdom,Algeria,United KingdomAlgeria,163,219,153,,,,,
Albania,Angola,AlbaniaAngola,,,,,0,0,,
Austria,Angola,AustriaAngola,3,21,14,27,11,22,13,
Belgium,Angola,BelgiumAngola,135,118,193,58,50,56,45,
