"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
2,1,0,0,0,0,0,0,0,0
10,1,1,1,2,2,2,2,1,0
17,1,8,9,4,3,2,6,7,0
23,1,0,0,0,0,0,0,0,0
27,1,1,1,1,1,1,1,1,0
43,1,1,1,0,1,1,2,3,0
45,1,0,0,6,0,0,0,0,0
46,1,1,1,0,0,0,1,2,0
47,1,5,18,8,6,3,3,3,0
57,1,0,0,0,0,1,0,0,0
60,1,3,1,2,2,3,1,2,0
61,1,7,8,0,8,7,34,37,0
65,1,35,46,39,42,38,39,30,0
67,1,0,0,0,0,0,0,0,0
76,1,23,11,1,0,0,0,0,0
77,1,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0
84,1,13,13,25,11,10,12,9,0
95,1,1,0,0,1,0,0,0,0
100,1,0,0,1,0,1,0,2,0
101,1,58,50,27,13,6,4,2,0
108,1,0,0,0,0,0,0,0,0
123,1,29,15,17,19,9,6,4,0
139,1,1,1,2,1,3,2,2,0
140,1,3,1,0,0,0,0,0,0
142,1,1,1,1,1,1,1,1,0
143,1,23,9,6,7,8,8,3,0
153,1,0,0,0,0,0,0,0,0
157,1,0,0,0,0,0,1,0,0
158,1,0,0,0,0,0,0,0,0
167,1,72,45,36,41,39,44,58,0
185,1,847,615,419,0,0,0,0,0
10,2,52,50,43,42,36,38,57,0
17,2,17,24,11,11,11,17,19,0
23,2,0,0,30,11,5,5,5,0
27,2,11,11,12,12,12,15,14,0
43,2,16,17,22,18,17,28,24,0
45,2,0,0,0,0,0,0,0,0
46,2,3,1,4,3,2,65,2,0
47,2,3,2,1,1,1,2,2,0
57,2,0,0,0,0,1,1,2,0
60,2,11,9,8,9,7,13,4,0
61,2,56,86,58,108,337,68,67,0
67,2,301,268,217,234,276,363,330,0
76,2,2,2,2,1,12,17,19,0
77,2,0,0,0,0,0,0,0,0
82,2,0,0,0,0,6,0,0,0
84,2,210,288,238,238,274,340,284,0
95,2,0,0,0,1,1,1,2,0
100,2,0,0,0,0,1,0,0,0
101,2,4,15,23,22,19,20,19,0
108,2,0,0,0,0,0,0,0,0
123,2,44,34,19,12,16,23,22,0
139,2,1,13,5,4,5,6,8,0
140,2,0,1,1,1,1,1,1,0
142,2,11,18,13,15,10,15,9,0
143,2,2,2,2,2,2,3,2,0
153,2,8,12,10,14,21,27,31,0
157,2,1,4,4,3,4,4,4,0
158,2,15,16,14,18,26,22,18,0
167,2,6,6,5,5,6,3,5,0
185,2,11,20,11,26,27,29,170,13
2,3,0,0,0,0,0,0,0,0
10,3,7,5,8,4,5,13,8,0
17,3,88,92,98,79,129,74,63,0
23,3,0,0,7,2,7,4,0,0
27,3,3,3,2,2,3,3,3,0
43,3,6,16,14,13,6,6,4,0
45,3,0,0,0,0,0,0,0,0
